layer_i,layer_j,meanK
18,41,8.618966256798072e-05
18,42,5.602328066916918e-05
18,43,3.64151324349465e-05
18,44,2.3669836082717494e-05
18,45,1.5385393453767514e-05
18,46,1.0000505744955215e-05
18,47,6.500328734215416e-06
18,48,4.225213677240701e-06
18,49,2.746388890208179e-06
18,50,1.785152778633924e-06
19,0,0.00027883916671286017
19,1,0.0006102287917677167
19,2,0.0010566230737327053
19,3,0.0017021501657473567
19,4,0.0026684670966912816
19,5,0.004137687442011488
19,6,0.006386702728326193
19,7,0.009839365836517858
19,8,0.015146370967745078
19,9,0.023307884473661843
19,10,0.03586203774577141
19,11,0.05517480582381411
19,12,0.0848859026917296
19,13,0.13059472737462263
19,14,0.2009156352934996
19,15,0.30910141294079124
19,16,0.4755409184115271
19,17,0.7316015969674654
19,18,1.1255410380289097
19,19,1.7316016747188046
19,20,1.1255410885672434
19,21,0.7316017075686561
19,22,0.4755411099196711
19,23,0.3091017214477972
19,24,0.2009161189410534
19,25,0.13059547731167062
19,26,0.08488706025259517
19,27,0.055176589164188425
